p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.4,0.3,0.5,0.12,0.2,0.067,53180.6,804.9,1565.6,3313.9,56.0
0.4,0.3,0.6,0.12,0.24,0.0646,53068.4,763.1,1504.9,3196.2,56.8
0.4,0.3,0.7,0.12,0.28,0.0638,53175.0,747.7,1474.2,3152.0,56.7
0.4,0.3,0.8,0.12,0.32,0.0622,53208.0,708.3,1424.7,3078.8,57.8
0.4,0.3,0.9,0.12,0.36,0.0623,53222.2,708.2,1421.2,3037.6,58.6
0.4,0.3,1.0,0.12,0.4,0.0606,53285.4,680.3,1378.7,2980.4,60.0
0.4,0.4,0.4,0.16,0.16,0.0682,53092.1,818.9,1612.4,3378.6,56.0
0.4,0.4,0.5,0.16,0.2,0.0665,53119.3,789.6,1554.3,3296.7,55.3
0.4,0.4,0.6,0.16,0.24,0.0648,53096.1,765.7,1510.5,3203.5,56.1
0.4,0.4,0.7,0.16,0.28,0.064,53126.6,734.3,1463.2,3139.0,56.7
0.4,0.4,0.8,0.16,0.32,0.0623,53104.9,724.2,1432.7,3070.3,56.1
0.4,0.4,0.9,0.16,0.36,0.0616,53101.4,690.0,1398.6,2999.2,56.3
0.4,0.4,1.0,0.16,0.4,0.0611,53219.7,679.6,1368.7,2979.0,57.8
0.4,0.5,0.5,0.2,0.2,0.0677,53067.5,790.1,1560.0,3317.4,54.3
0.4,0.5,0.6,0.2,0.24,0.0657,53097.9,757.6,1517.9,3251.3,55.0
0.4,0.5,0.7,0.2,0.28,0.0647,53078.6,734.7,1474.5,3159.5,54.4
0.4,0.5,0.8,0.2,0.32,0.0637,53089.2,704.4,1434.9,3081.5,54.8
0.4,0.5,0.9,0.2,0.36,0.0627,53099.7,705.3,1428.2,3050.1,56.7
0.4,0.5,1.0,0.2,0.4,0.0609,53131.2,673.7,1363.6,2967.2,55.9
0.4,0.6,0.6,0.24,0.24,0.0673,53075.7,756.6,1526.2,3263.9,54.9
0.4,0.6,0.7,0.24,0.28,0.065,53128.1,724.6,1477.4,3178.6,56.5
0.4,0.6,0.8,0.24,0.32,0.0639,53122.0,699.0,1439.4,3108.9,56.3
0.4,0.6,0.9,0.24,0.36,0.0621,53119.5,680.7,1397.7,3030.9,55.9
0.4,0.6,1.0,0.24,0.4,0.0612,53162.7,664.0,1374.2,2958.2,55.6
0.4,0.7,0.7,0.28,0.28,0.0654,53107.3,714.0,1482.8,3181.8,55.9
0.4,0.7,0.8,0.28,0.32,0.065,53120.2,707.0,1447.9,3108.7,56.7
0.4,0.7,0.9,0.28,0.36,0.063,53129.6,686.0,1412.1,3060.2,54.6
0.4,0.7,1.0,0.28,0.4,0.0623,53162.8,660.1,1389.2,3017.8,56.0
0.4,0.8,0.8,0.32,0.32,0.0646,53055.3,689.6,1450.5,3130.2,54.7
0.4,0.8,0.9,0.32,0.36,0.0634,53137.8,676.3,1410.0,3075.9,56.5
0.4,0.8,1.0,0.32,0.4,0.0627,53032.8,668.0,1382.3,2992.2,54.2
0.4,0.9,0.9,0.36,0.36,0.064,53071.6,677.1,1422.9,3087.3,54.9
0.4,0.9,1.0,0.36,0.4,0.0628,53105.7,670.6,1392.1,3007.5,56.3
0.4,1.0,1.0,0.4,0.4,0.0638,53132.8,664.1,1413.9,3042.1,55.5
0.5,0.1,0.1,0.05,0.05,0.0653,53179.1,810.7,1550.2,3313.3,57.9
0.5,0.1,0.2,0.05,0.1,0.0641,53152.8,771.7,1483.2,3180.8,56.3
0.5,0.1,0.3,0.05,0.15,0.0622,53187.1,757.5,1443.8,3116.9,57.9
0.5,0.1,0.4,0.05,0.2,0.061,53209.8,707.9,1404.9,3038.0,56.5
