p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.500,0.100,0.900,0.050,0.450,0.0566,53253.2,625.6,1258.6,2730.2,59.0
0.500,0.100,1.000,0.050,0.500,0.0555,53281.7,604.4,1232.2,2701.9,60.3
0.500,0.200,0.200,0.100,0.100,0.0645,53122.3,757.8,1497.1,3204.6,55.3
0.500,0.200,0.300,0.100,0.150,0.0631,53077.7,738.2,1447.0,3110.2,56.0
0.500,0.200,0.400,0.100,0.200,0.0617,53149.2,716.3,1414.2,3067.6,56.8
0.500,0.200,0.500,0.100,0.250,0.0612,53202.9,707.5,1395.4,2986.4,56.7
0.500,0.200,0.600,0.100,0.300,0.0600,53241.8,673.3,1343.2,2933.5,57.7
0.500,0.200,0.700,0.100,0.350,0.0588,53233.4,644.4,1305.4,2854.9,57.5
0.500,0.200,0.800,0.100,0.400,0.0573,53233.1,638.9,1271.8,2793.0,58.5
0.500,0.200,0.900,0.100,0.450,0.0575,53319.7,634.7,1281.0,2800.3,59.8
0.500,0.200,1.000,0.100,0.500,0.0567,53315.3,614.0,1249.4,2765.4,60.7
0.500,0.300,0.300,0.150,0.150,0.0637,53149.9,729.6,1466.8,3118.4,56.4
0.500,0.300,0.400,0.150,0.200,0.0618,53117.0,702.9,1398.7,3020.9,56.0
0.500,0.300,0.500,0.150,0.250,0.0607,53125.5,680.5,1370.7,2955.1,57.1
0.500,0.300,0.600,0.150,0.300,0.0604,53237.2,691.4,1365.4,2974.2,57.8
0.500,0.300,0.700,0.150,0.350,0.0595,53165.6,651.0,1316.0,2859.6,57.2
0.500,0.300,0.800,0.150,0.400,0.0586,53233.6,632.3,1295.4,2827.1,59.9
0.500,0.300,0.900,0.150,0.450,0.0577,53272.2,622.6,1271.0,2776.5,58.6
0.500,0.300,1.000,0.150,0.500,0.0562,53240.0,598.1,1224.6,2722.7,58.2
0.500,0.400,0.400,0.200,0.200,0.0630,53195.6,705.8,1427.9,3086.9,56.1
0.500,0.400,0.500,0.200,0.250,0.0624,53182.7,674.3,1380.4,2987.7,56.4
0.500,0.400,0.600,0.200,0.300,0.0610,53193.2,668.9,1362.6,2976.5,56.7
0.500,0.400,0.700,0.200,0.350,0.0598,53140.5,646.7,1321.3,2880.5,56.2
0.500,0.400,0.800,0.200,0.400,0.0585,53150.7,630.4,1294.3,2810.3,56.4
0.500,0.400,0.900,0.200,0.450,0.0576,53284.3,616.4,1264.2,2776.4,58.7
0.500,0.400,1.000,0.200,0.500,0.0571,53296.1,602.7,1240.0,2743.2,58.1
0.500,0.500,0.500,0.250,0.250,0.0617,53158.8,665.3,1381.8,3017.5,56.6
0.500,0.500,0.600,0.250,0.300,0.0612,53142.7,670.0,1372.7,2983.7,56.6
0.500,0.500,0.700,0.250,0.350,0.0599,53191.6,648.7,1325.1,2913.4,56.6
0.500,0.500,0.800,0.250,0.400,0.0589,53225.7,619.1,1291.5,2833.1,58.1
0.500,0.500,0.900,0.250,0.450,0.0587,53263.8,625.1,1293.5,2819.3,58.5
0.500,0.500,1.000,0.250,0.500,0.0575,53255.3,598.4,1254.5,2773.3,59.5
0.500,0.600,0.600,0.300,0.300,0.0616,53165.8,652.8,1362.6,2983.0,55.3
0.500,0.600,0.700,0.300,0.350,0.0605,53172.1,641.3,1347.2,2906.9,57.7
0.500,0.600,0.800,0.300,0.400,0.0597,53273.4,627.6,1303.9,2881.4,58.4
0.500,0.600,0.900,0.300,0.450,0.0583,53235.6,610.0,1280.0,2833.8,57.9
0.500,0.600,1.000,0.300,0.500,0.0576,53238.6,593.9,1248.0,2757.6,58.0
0.500,0.700,0.700,0.350,0.350,0.0614,53089.0,643.5,1346.8,2924.1,55.4
0.500,0.700,0.800,0.350,0.400,0.0605,53094.8,633.0,1324.0,2869.1,54.8
0.500,0.700,0.900,0.350,0.450,0.0589,53077.2,609.4,1272.1,2795.2,56.6
0.500,0.700,1.000,0.350,0.500,0.0581,53226.2,600.5,1268.6,2804.6,57.4
0.500,0.800,0.800,0.400,0.400,0.0606,53205.4,624.0,1324.0,2919.1,57.7
0.500,0.800,0.900,0.400,0.450,0.0599,53131.2,612.2,1301.1,2833.1,57.1
0.500,0.800,1.000,0.400,0.500,0.0580,53119.2,592.1,1262.5,2788.3,55.7
0.500,0.900,0.900,0.450,0.450,0.0591,53173.9,603.8,1289.9,2826.5,56.7
0.500,0.900,1.000,0.450,0.500,0.0589,53141.2,586.8,1264.8,2793.1,56.4
0.500,1.000,1.000,0.500,0.500,0.0595,53116.3,605.7,1287.6,2818.5,56.7
0.600,0.100,0.100,0.060,0.060,0.0606,53190.7,695.7,1368.4,2977.2,57.5
0.600,0.100,0.200,0.060,0.120,0.0594,53277.4,677.3,1342.9,2908.5,58.9
0.600,0.100,0.300,0.060,0.180,0.0581,53295.5,658.2,1313.7,2864.2,58.4
0.600,0.100,0.400,0.060,0.240,0.0576,53265.5,657.3,1292.5,2841.4,58.6
0.600,0.100,0.500,0.060,0.300,0.0567,53266.9,627.4,1258.6,2762.8,58.0
0.600,0.100,0.600,0.060,0.360,0.0559,53287.6,620.7,1250.3,2753.7,58.2
0.600,0.100,0.700,0.060,0.420,0.0554,53258.3,605.3,1215.8,2691.9,58.0
0.600,0.100,0.800,0.060,0.480,0.0555,53361.4,595.6,1212.4,2675.1,60.2
0.600,0.100,0.900,0.060,0.540,0.0539,53386.5,577.2,1172.4,2621.4,59.7
0.600,0.100,1.000,0.060,0.600,0.0533,53494.2,572.1,1156.5,2587.2,62.6
0.600,0.200,0.200,0.120,0.120,0.0601,53187.3,671.9,1341.0,2964.4,57.9
